ParName   Value   Gradient
SR_parm[1]      9.57795  3.09021e-06
recdev1(1975)   -0.0573398 -1.02209e-06
recdev1(1976)    -0.198712  6.90897e-06
recdev1(1977)    0.0446008  3.34532e-06
recdev1(1978)    -0.253475 -5.78258e-06
recdev1(1979)     0.105245 -7.74062e-06
recdev1(1980)    -0.151201 -8.10999e-06
recdev1(1981)     0.086345   1.2638e-05
recdev1(1982)   -0.0988061  6.04498e-06
recdev1(1983)     0.051901 -1.92268e-05
recdev1(1984)    0.0391599 -9.51098e-06
recdev1(1985)     0.342338  7.77196e-06
recdev1(1986)    -0.141399 -8.96093e-06
recdev1(1987)    -0.138246  4.07548e-06
recdev1(1988)     0.117936 -4.15027e-06
recdev1(1989)    0.0718838  6.36687e-06
recdev1(1990)    -0.254071 -2.31812e-05
recdev1(1991)    -0.305232  4.25846e-05
recdev1(1992)   0.00854868  1.85148e-06
recdev1(1993)    -0.230922 -9.98396e-06
recdev1(1994)    0.0237547  1.34396e-05
recdev1(1995)   -0.0399303  -1.5446e-05
recdev1(1996)   -0.0203976  7.82199e-07
recdev1(1997)   -0.0953662  1.18988e-05
recdev1(1998)     0.170083 -2.99852e-06
recdev1(1999)     0.185744  9.83569e-06
recdev1(2000)   -0.0453218 -1.20496e-05
recdev1(2001)    0.0454478  7.59764e-06
recdev1(2002)   -0.0286573 -3.20467e-06
recdev1(2003)   -0.0722598  6.37494e-06
recdev1(2004)   -0.0520479 -1.08484e-05
recdev1(2005)    0.0199139   7.2762e-06
recdev1(2006)     0.254203 -5.05421e-06
recdev1(2007)    -0.151233  2.85703e-06
recdev1(2008)      0.19753  3.64232e-06
recdev1(2009)     0.224228 -6.68735e-06
recdev1(2010)    -0.129645  4.76749e-06
recdev1(2011)     0.305366  2.02239e-06
recdev1(2012)     0.023467  7.49468e-06
recdev1(2013)    0.0805491 -5.35668e-07
recdev1(2014)   -0.0437791 -9.99441e-06
recdev1(2015)     0.109798 -1.53941e-05
Fcast_recruitments(2016)   0.00672954  1.75645e-07
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      75.0053  3.47958e-06
selparm[2]     -2.26065  2.76342e-06
selparm[3]    0.0498255  1.04823e-08
selparm[4]      2.07729  1.93243e-07
selparm[7]      76.0245  3.56551e-05
selparm[9]    -0.999623 -5.15462e-06
selparm[10]    -0.999572  6.52276e-06
selparm[12]     -9.62469  1.21157e-06
selparm[13]      62.8279 -7.20535e-06
selparm[15]      3.34797  1.92052e-06
selparm[16]      4.22507 -1.64693e-06
selparm[19]      101.335 -5.62993e-06
selparm[20]      -2.7387  -1.9314e-08
selparm[21]       4.5511 -8.56904e-06
