ParName   Value   Gradient
SR_parm[1]      9.54573 -9.99584e-05
recdev1(1975)    -0.357167  7.43336e-06
recdev1(1976)    -0.298082  7.45963e-06
recdev1(1977)     -0.14168  4.78347e-06
recdev1(1978)    0.0974408 -2.34776e-06
recdev1(1979)    -0.138182  9.24267e-06
recdev1(1980)    -0.209419  7.58751e-07
recdev1(1981)    -0.223677  5.21112e-06
recdev1(1982)    -0.328961  1.41525e-06
recdev1(1983)    -0.157363  4.77413e-06
recdev1(1984)     0.204248 -1.98156e-07
recdev1(1985)     0.173791  1.26285e-05
recdev1(1986)    -0.265499 -3.34359e-05
recdev1(1987)    -0.202796  4.82394e-05
recdev1(1988)     0.365481 -2.16968e-05
recdev1(1989)    0.0858507  1.67601e-05
recdev1(1990)    -0.421502 -6.30265e-06
recdev1(1991)     0.356829  1.52465e-06
recdev1(1992)    -0.108641 -6.95932e-06
recdev1(1993)      0.34189  1.41169e-05
recdev1(1994)     0.100121 -3.73675e-05
recdev1(1995)    -0.104009   3.9783e-05
recdev1(1996)     0.272862 -1.45236e-05
recdev1(1997)   -0.0523284   6.5193e-06
recdev1(1998)     0.273824  -9.5558e-06
recdev1(1999)     0.304881 -2.53924e-07
recdev1(2000)     0.375604 -6.53155e-06
recdev1(2001)    -0.120158 -9.87527e-06
recdev1(2002)    -0.234183 -1.57973e-06
recdev1(2003)   -0.0968693   7.7806e-06
recdev1(2004)     0.082943 -5.74103e-06
recdev1(2005)    0.0125272 -1.24976e-05
recdev1(2006)     0.329075  7.20096e-07
recdev1(2007)       0.2007 -7.04867e-06
recdev1(2008)      0.29386 -5.43941e-06
recdev1(2009)   -0.0184737  -2.7189e-06
recdev1(2010)  -0.00229294 -2.54588e-06
recdev1(2011)     0.240416 -5.95896e-06
recdev1(2012)     0.205627 -6.52486e-08
recdev1(2013)    0.0682733 -6.69112e-06
recdev1(2014)    -0.450658   3.8029e-06
recdev1(2015)    -0.454304  5.77647e-06
Fcast_recruitments(2016)    -0.489996 -3.67676e-07
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      97.9558 -2.11241e-06
selparm[2]     -7.83581 -7.45647e-06
selparm[3]      6.42669  1.95108e-06
selparm[4]    -0.807169  1.38989e-05
selparm[7]      76.1651 -4.98974e-06
selparm[9]      5.47628  3.49961e-06
selparm[10]      3.80949  3.00533e-07
selparm[12]     -1.39953 -4.22593e-06
selparm[13]      62.1611  6.11631e-06
selparm[15]      3.52237  1.82417e-06
selparm[16]       4.1442  4.04159e-06
selparm[19]       97.148 -3.06433e-06
selparm[20]     -7.17752  9.86666e-06
selparm[21]      4.47769  2.86162e-06
