ParName   Value   Gradient
SR_parm[1]      9.62196 -6.04388e-05
recdev1(1975)     0.445194  -1.3096e-06
recdev1(1976)     0.397578  6.76084e-06
recdev1(1977)     0.102952  5.25443e-06
recdev1(1978)      0.34255  3.64576e-06
recdev1(1979)    0.0162711  2.23529e-06
recdev1(1980)     0.322866  2.01987e-06
recdev1(1981)    0.0527235  3.19324e-06
recdev1(1982)     0.265236  3.56899e-06
recdev1(1983)   -0.0797143   1.1872e-06
recdev1(1984)   -0.0926122  3.25578e-06
recdev1(1985)    0.0361692 -3.29597e-06
recdev1(1986)    -0.229394 -3.65522e-06
recdev1(1987)    -0.160708  8.70973e-06
recdev1(1988)     0.256865  1.43703e-06
recdev1(1989)   -0.0287103  2.74739e-07
recdev1(1990)    -0.199157 -7.82209e-07
recdev1(1991)    0.0527793  -9.7335e-07
recdev1(1992)    -0.362014  1.47657e-06
recdev1(1993)    0.0340344 -1.04189e-06
recdev1(1994)    -0.153764  2.54032e-06
recdev1(1995)    -0.213448 -4.43627e-06
recdev1(1996)     -0.12824  1.32656e-06
recdev1(1997)     0.243059 -4.80361e-06
recdev1(1998)     0.102571 -4.65757e-06
recdev1(1999)    -0.151303  7.11353e-07
recdev1(2000)   -0.0165253  -1.7629e-06
recdev1(2001)    -0.291461 -2.10016e-06
recdev1(2002)    -0.237635 -2.41617e-06
recdev1(2003)    -0.206059  1.29735e-06
recdev1(2004)   0.00291381 -2.00636e-06
recdev1(2005)     0.095359 -5.73597e-06
recdev1(2006)    -0.363991  1.83872e-06
recdev1(2007)     0.180783 -5.94282e-06
recdev1(2008)     0.122744  -3.1356e-06
recdev1(2009)    -0.442259  1.32226e-06
recdev1(2010)     0.271588 -5.32653e-06
recdev1(2011)    -0.107503  1.72418e-06
recdev1(2012)    0.0047728 -1.66503e-06
recdev1(2013)   -0.0231306 -5.62529e-06
recdev1(2014)     0.145896 -1.41936e-06
recdev1(2015)  -0.00727641   4.8913e-07
Fcast_recruitments(2016) -6.48614e-05  1.55879e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      89.0063 -4.38131e-06
selparm[2]     -3.55786 -3.81715e-09
selparm[3]     0.407307  -1.5346e-07
selparm[4]      2.14375  5.19996e-10
selparm[7]      88.2295  1.96369e-06
selparm[9]    -0.763828 -1.75629e-08
selparm[10]    -0.783526   8.4008e-09
selparm[12]     -1.06634  4.12033e-06
selparm[13]      62.6481  2.20733e-06
selparm[15]      3.30287  8.03972e-07
selparm[16]      4.18195  4.04923e-06
selparm[19]      121.606 -6.53104e-07
selparm[20]     -2.50001  -3.7031e-09
selparm[21]      5.49201  1.41644e-06
