ParName   Value   Gradient
SR_parm[1]      9.39671  7.43657e-05
recdev1(1975)      0.46292  2.28529e-05
recdev1(1976)     0.434732  4.73385e-05
recdev1(1977)     0.444905  7.57464e-06
recdev1(1978)     0.534307  1.65087e-05
recdev1(1979)      0.21124 -2.33657e-05
recdev1(1980)    0.0920937 -3.94735e-05
recdev1(1981)    0.0438256  1.59534e-05
recdev1(1982)   -0.0865286 -2.86322e-05
recdev1(1983)    0.0392797 -1.53973e-05
recdev1(1984)     0.320162 -7.93494e-06
recdev1(1985)     0.230357 -3.54789e-05
recdev1(1986)    -0.202473 -1.34131e-05
recdev1(1987)    -0.135453 -7.66629e-06
recdev1(1988)     0.392301  3.22616e-05
recdev1(1989)    0.0773295  2.39665e-05
recdev1(1990)    -0.418551  6.00774e-06
recdev1(1991)     0.281115  2.98958e-05
recdev1(1992)    -0.181161 -2.13206e-05
recdev1(1993)     0.205056 -3.04536e-05
recdev1(1994)   -0.0473698  9.11651e-06
recdev1(1995)    -0.243804 -2.11613e-05
recdev1(1996)     0.114503  1.17225e-06
recdev1(1997)    -0.178554  6.89122e-06
recdev1(1998)      0.12561  2.43429e-07
recdev1(1999)      0.12383 -2.46705e-05
recdev1(2000)     0.145058 -2.68427e-05
recdev1(2001)    -0.323722  3.64223e-05
recdev1(2002)     -0.45655 -7.64617e-07
recdev1(2003)     -0.33234 -8.66408e-06
recdev1(2004)    -0.166399 -1.85095e-06
recdev1(2005)      -0.2195 -4.08328e-06
recdev1(2006)     0.045673 -1.57536e-05
recdev1(2007)    -0.027718  3.06387e-06
recdev1(2008)      0.11134 -1.39821e-05
recdev1(2009)    -0.189676  -1.0602e-06
recdev1(2010)    -0.210869 -1.29751e-05
recdev1(2011)   -0.0102578  2.78527e-05
recdev1(2012)   -0.0219231  3.26267e-05
recdev1(2013)   -0.0414186  1.08221e-05
recdev1(2014)    -0.469062  4.09195e-05
recdev1(2015)    -0.472309 -2.44402e-07
Fcast_recruitments(2016)    -0.551873 -1.17834e-05
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      98.7372  -5.7482e-06
selparm[2]    -0.134825  1.26018e-07
selparm[3]      6.39205  1.25348e-05
selparm[4]      4.14071 -2.32032e-08
selparm[7]      76.3104  6.51643e-05
selparm[9]      5.48614 -4.67223e-05
selparm[10]      3.77197  3.29757e-06
selparm[12]     -1.39411  1.92694e-05
selparm[13]      62.1229 -4.40401e-06
selparm[15]      3.51823  1.37578e-06
selparm[16]      4.14985  5.56638e-06
selparm[19]      97.5714  3.75887e-05
selparm[20]     -7.16896  3.69474e-05
selparm[21]      4.46071 -1.39534e-05
