ParName   Value   Gradient
SR_parm[1]      9.76894  9.48864e-06
recdev1(1975)     -0.68628 -1.47484e-06
recdev1(1976)    -0.368421 -1.49338e-06
recdev1(1977)    0.0408196  1.71862e-06
recdev1(1978)     0.381882 -5.51463e-07
recdev1(1979)  -0.00242522  5.97836e-08
recdev1(1980)     0.148432 -2.10606e-06
recdev1(1981)    0.0742299  6.24818e-06
recdev1(1982)     0.144661  -8.0674e-06
recdev1(1983)     0.140581  4.28847e-06
recdev1(1984)     0.408081 -2.19063e-07
recdev1(1985)     0.283969 -3.54314e-06
recdev1(1986)    -0.170496  2.64564e-06
recdev1(1987)    -0.291774  1.60784e-06
recdev1(1988)     0.225283  -4.2306e-06
recdev1(1989)   -0.0361126 -5.55073e-07
recdev1(1990)    -0.600699  1.47731e-06
recdev1(1991)     0.159603  -2.9897e-06
recdev1(1992)    -0.348016 -4.26294e-07
recdev1(1993)     0.265013  2.12432e-06
recdev1(1994)   -0.0716545 -1.51039e-05
recdev1(1995)   -0.0549966  1.46186e-05
recdev1(1996)       0.2165 -8.89558e-06
recdev1(1997)    -0.297394  5.14425e-06
recdev1(1998)     0.100968 -2.02855e-06
recdev1(1999)     0.248923 -2.66246e-06
recdev1(2000)     0.257408   1.2696e-06
recdev1(2001)     -0.21565 -4.17268e-06
recdev1(2002)    0.0759556 -1.65511e-06
recdev1(2003)     -0.12724  1.79246e-06
recdev1(2004)   -0.0147419 -5.00334e-06
recdev1(2005)    -0.118089  1.57889e-06
recdev1(2006)      0.29641 -8.11793e-07
recdev1(2007)     0.109937 -4.83838e-06
recdev1(2008)    -0.243629  7.76558e-06
recdev1(2009)     0.205846 -3.72033e-06
recdev1(2010)    0.0744185  3.22804e-06
recdev1(2011)   0.00542286 -1.73457e-06
recdev1(2012)     0.393654  2.92196e-06
recdev1(2013)   -0.0358819  3.00102e-06
recdev1(2014)     -0.39697  3.86607e-06
recdev1(2015)    -0.177523  1.56221e-06
Fcast_recruitments(2016)    -0.195196  7.41314e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      98.3182 -1.53325e-05
selparm[2]     -8.42446  -1.5015e-06
selparm[3]      6.50428 -6.49441e-06
selparm[4]    -0.872998  8.10145e-07
selparm[7]      74.2518  7.62067e-06
selparm[9]      5.15957 -4.07648e-06
selparm[10]      4.22269 -2.80099e-07
selparm[12]     -1.49114  2.45938e-06
selparm[13]      61.9348 -7.16996e-07
selparm[15]      3.62592 -5.04876e-07
selparm[16]      4.14437 -1.97779e-06
selparm[19]      96.6825 -2.38028e-05
selparm[20]     -7.15987  6.09332e-06
selparm[21]      4.44443  3.00692e-06
