ParName   Value   Gradient
SR_parm[1]      9.54415 -2.55062e-05
recdev1(1975)    -0.425797  1.38695e-06
recdev1(1976)    -0.241602  2.11053e-06
recdev1(1977)    0.0858533   3.9484e-06
recdev1(1978)     0.390309  4.33136e-06
recdev1(1979)    0.0256081   3.8429e-06
recdev1(1980)     0.156944  4.05419e-06
recdev1(1981)    0.0873061  1.34809e-06
recdev1(1982)     0.149711  2.29731e-06
recdev1(1983)     0.145651  2.48082e-06
recdev1(1984)     0.405996  4.15913e-06
recdev1(1985)     0.300228  4.14828e-06
recdev1(1986)    -0.140978  3.71273e-06
recdev1(1987)    -0.248477  1.28643e-06
recdev1(1988)     0.246141 -3.16947e-07
recdev1(1989)  -0.00872076 -2.06511e-06
recdev1(1990)    -0.538262 -3.24753e-06
recdev1(1991)     0.142109 -5.52638e-06
recdev1(1992)    -0.322483 -2.13094e-06
recdev1(1993)     0.238875 -4.98823e-06
recdev1(1994)   -0.0813615 -2.20341e-06
recdev1(1995)   -0.0709189 -3.53932e-06
recdev1(1996)     0.182411 -6.99066e-06
recdev1(1997)     -0.29292 -5.79494e-06
recdev1(1998)    0.0807777 -3.96311e-06
recdev1(1999)     0.226603 -2.60993e-06
recdev1(2000)     0.222052 -3.45714e-06
recdev1(2001)    -0.209121 -9.97643e-07
recdev1(2002)    0.0101362 -4.25471e-07
recdev1(2003)    -0.159068  1.12304e-06
recdev1(2004)   -0.0635667 -9.50171e-07
recdev1(2005)    -0.136988 -9.19124e-07
recdev1(2006)      0.24984  1.99794e-06
recdev1(2007)    0.0612407  2.84984e-06
recdev1(2008)    -0.233186 -7.27594e-08
recdev1(2009)     0.142825  6.97925e-07
recdev1(2010)    0.0353206  2.19853e-06
recdev1(2011)   -0.0335218   7.4235e-10
recdev1(2012)     0.332745  2.64296e-06
recdev1(2013)   -0.0798083 -7.94798e-07
recdev1(2014)    -0.404749 -1.77751e-06
recdev1(2015)    -0.227153  -4.5789e-06
Fcast_recruitments(2016)    -0.203176  3.60763e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      99.6235 -5.65408e-06
selparm[2]    -0.190748 -1.57327e-06
selparm[3]      6.53226  8.75801e-06
selparm[4]      4.12264  1.71681e-08
selparm[7]      74.5252 -2.74929e-06
selparm[9]      5.17931  4.55591e-06
selparm[10]      4.15906  4.84422e-06
selparm[12]     -1.37966  3.28804e-06
selparm[13]       62.005  9.47196e-07
selparm[15]      3.60603  1.85045e-07
selparm[16]      4.15479 -1.34802e-06
selparm[19]      97.0925 -1.29809e-05
selparm[20]     -7.19606  1.41467e-05
selparm[21]      4.46694  3.73345e-06
