ParName   Value   Gradient
SR_parm[1]      9.50594 -9.00429e-05
recdev1(1975)    -0.587077   7.4696e-06
recdev1(1976)    -0.425501  6.95296e-06
recdev1(1977)    -0.163592  7.19559e-06
recdev1(1978)     0.164143  9.27314e-06
recdev1(1979)    -0.133097  6.30991e-06
recdev1(1980)    -0.200975  7.12307e-06
recdev1(1981)     -0.21387  5.50442e-06
recdev1(1982)    -0.348396  6.38776e-06
recdev1(1983)    -0.152353  6.47668e-06
recdev1(1984)     0.261148  9.03355e-06
recdev1(1985)     0.238666  6.26051e-06
recdev1(1986)    -0.259713  5.18184e-06
recdev1(1987)    -0.212531   4.1758e-06
recdev1(1988)     0.451743  2.63053e-06
recdev1(1989)     0.150051  3.70172e-06
recdev1(1990)    -0.525963  4.06359e-06
recdev1(1991)      0.41905  2.35199e-06
recdev1(1992)    -0.155444   2.1543e-06
recdev1(1993)     0.375651 -8.44534e-07
recdev1(1994)      0.10514 -1.13225e-06
recdev1(1995)    -0.134034 -1.49111e-07
recdev1(1996)     0.318806  -1.5374e-06
recdev1(1997)    -0.065931 -1.66431e-06
recdev1(1998)      0.32024 -6.45877e-06
recdev1(1999)     0.339219 -8.30688e-06
recdev1(2000)     0.446449 -9.46875e-06
recdev1(2001)    -0.166162 -3.58062e-06
recdev1(2002)    -0.293828 -2.93328e-06
recdev1(2003)   -0.0988433 -4.46023e-06
recdev1(2004)     0.127026 -7.60356e-06
recdev1(2005)  -0.00640083 -4.95269e-06
recdev1(2006)     0.377575 -1.10781e-05
recdev1(2007)      0.18446 -6.56219e-06
recdev1(2008)     0.379159  -9.8072e-06
recdev1(2009)   -0.0640666 -5.71074e-06
recdev1(2010)   -0.0128073 -5.00248e-06
recdev1(2011)     0.277295 -7.67403e-06
recdev1(2012)     0.232488  -5.0636e-06
recdev1(2013)     0.127812 -4.15918e-06
recdev1(2014)    -0.540844  2.08287e-06
recdev1(2015)    -0.534691  5.34902e-06
Fcast_recruitments(2016)    -0.744336  2.54197e-06
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]       98.632 -5.22604e-06
selparm[2]     -8.50517  3.61995e-08
selparm[3]      6.43148  1.42173e-05
selparm[4]    -0.790055  7.35505e-07
selparm[7]      76.3774 -1.07245e-05
selparm[9]       5.4909  1.40493e-06
selparm[10]      3.76818  3.00865e-06
selparm[12]     -1.35076 -7.24094e-06
selparm[13]      62.0637 -1.80826e-07
selparm[15]       3.5869 -2.21556e-07
selparm[16]      4.17443  1.92971e-07
selparm[19]      97.4192  -1.4683e-05
selparm[20]     -7.15918 -3.21306e-06
selparm[21]      4.48698  6.97137e-06
