ParName   Value   Gradient
SR_parm[1]      9.50239  2.50947e-05
recdev1(1975)    -0.109231 -1.65083e-06
recdev1(1976)    -0.320289 -2.78012e-05
recdev1(1977)    0.0614719  7.25366e-05
recdev1(1978)    -0.312157  -3.5079e-05
recdev1(1979)     0.161984 -2.70078e-05
recdev1(1980)    -0.224909  3.74349e-05
recdev1(1981)     0.130666  8.23586e-06
recdev1(1982)    -0.115229 -1.73988e-05
recdev1(1983)     0.123384  5.45855e-05
recdev1(1984)    0.0369713 -5.88288e-05
recdev1(1985)     0.358157  4.89506e-05
recdev1(1986)    -0.221426  4.31523e-05
recdev1(1987)     -0.13782 -5.63078e-05
recdev1(1988)     0.114988  5.13826e-05
recdev1(1989)     0.054815 -5.24162e-05
recdev1(1990)    -0.238402  8.06283e-06
recdev1(1991)    -0.314659 -1.90646e-05
recdev1(1992)    0.0641891  1.36814e-06
recdev1(1993)    -0.247708 -5.00652e-05
recdev1(1994)    0.0683116 -4.42959e-06
recdev1(1995)   -0.0144194  2.93087e-06
recdev1(1996)   -0.0477155 -5.85666e-05
recdev1(1997)    -0.139643  1.95583e-05
recdev1(1998)     0.210818 -2.43366e-05
recdev1(1999)     0.194462 -1.52723e-06
recdev1(2000)    -0.082997 -5.08952e-05
recdev1(2001)    0.0976277 -8.93127e-06
recdev1(2002)   -0.0393022  6.61662e-06
recdev1(2003)   -0.0669046 -4.89236e-05
recdev1(2004)   -0.0286486   2.9807e-06
recdev1(2005)    0.0303084 -2.80433e-05
recdev1(2006)     0.321288 -1.02089e-05
recdev1(2007)    -0.199608 -5.25971e-06
recdev1(2008)     0.203393  4.69899e-06
recdev1(2009)     0.289247 -1.51973e-05
recdev1(2010)    -0.177403  7.09128e-06
recdev1(2011)     0.388918 -4.26812e-06
recdev1(2012)   -0.0320567 -6.54746e-05
recdev1(2013)    0.0988464 -1.15579e-05
recdev1(2014)   -0.0724898   1.4923e-05
recdev1(2015)     0.133172  5.12194e-05
Fcast_recruitments(2016)  -0.00352896 -1.14728e-05
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      80.9013  6.07916e-06
selparm[2]     -4.82004 -1.34465e-05
selparm[3]      4.61875  4.62485e-07
selparm[4]      2.47185  6.70138e-06
selparm[7]      75.8923  8.99818e-05
selparm[9]    -0.998792   6.2337e-07
selparm[10]    -0.998997 -4.59097e-05
selparm[12]     -3.30132  1.11024e-05
selparm[13]      62.6495 -1.88478e-05
selparm[15]       3.3253  -1.5936e-05
selparm[16]      4.08285  2.96482e-05
selparm[19]      97.1464  1.48111e-05
selparm[20]     -4.28337  2.54377e-06
selparm[21]      4.39627 -4.07488e-05
