ParName   Value   Gradient
SR_parm[1]      9.89832  5.48889e-06
recdev1(1975)     0.232533 -1.03731e-07
recdev1(1976)     0.436247  -1.4206e-07
recdev1(1977)      0.88277   -6.986e-08
recdev1(1978)      1.05452   1.5283e-07
recdev1(1979)     0.595401  2.83939e-07
recdev1(1980)     0.700738 -4.20034e-07
recdev1(1981)     0.570389 -5.33805e-07
recdev1(1982)     0.592237 -1.39553e-07
recdev1(1983)     0.563253  6.47242e-08
recdev1(1984)     0.743799 -9.84127e-07
recdev1(1985)     0.472282  7.33711e-07
recdev1(1986)   -0.0151843 -5.75697e-07
recdev1(1987)    -0.135648 -1.28715e-07
recdev1(1988)     0.301603 -6.07314e-07
recdev1(1989)   -0.0271595 -2.49538e-07
recdev1(1990)    -0.462329  2.92507e-07
recdev1(1991)     0.228199 -6.18827e-08
recdev1(1992)    -0.276656  4.87625e-07
recdev1(1993)      0.24144 -2.88701e-07
recdev1(1994)    -0.121023 -4.73036e-07
recdev1(1995)    -0.160253 -6.83855e-08
recdev1(1996)    0.0581537 -3.75064e-07
recdev1(1997)     -0.44003  -2.8613e-07
recdev1(1998)    -0.110529  3.15985e-07
recdev1(1999)    0.0125616  1.84902e-07
recdev1(2000)   -0.0461981  2.39323e-07
recdev1(2001)     -0.47843 -3.05958e-07
recdev1(2002)    -0.294975  4.39479e-07
recdev1(2003)    -0.448636 -2.89909e-07
recdev1(2004)    -0.395738 -3.58414e-07
recdev1(2005)    -0.463301  7.16436e-07
recdev1(2006)    -0.123363 -2.76446e-08
recdev1(2007)    -0.292289  5.52819e-07
recdev1(2008)    -0.592522 -2.71501e-07
recdev1(2009)    -0.244288  6.62309e-07
recdev1(2010)    -0.315805  7.73809e-08
recdev1(2011)    -0.403095  1.58813e-07
recdev1(2012)   -0.0519673  2.51734e-07
recdev1(2013)    -0.447378  1.27068e-07
recdev1(2014)    -0.736089  2.69424e-08
recdev1(2015)    -0.603242  6.88501e-07
Fcast_recruitments(2016)    -0.513643  5.06111e-07
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]       95.848  4.71657e-07
selparm[2]     -6.93941  1.29373e-08
selparm[3]      6.51646 -5.42717e-08
selparm[4]    -0.363984  9.15877e-08
selparm[7]      73.2983 -4.86813e-09
selparm[9]      5.09231 -1.76203e-07
selparm[10]      4.33304 -7.91576e-09
selparm[12]     -1.70188  4.36946e-07
selparm[13]      61.7036  -2.3654e-07
selparm[15]      3.60223  1.40516e-07
selparm[16]      4.05193  6.58271e-07
selparm[19]       95.125  -4.2806e-07
selparm[20]     -6.83087 -2.29913e-07
selparm[21]      4.34391 -2.46216e-07
