ParName   Value   Gradient
SR_parm[1]      12.6388    6.972e-06
recdev1(1975)   0.00675061 -4.30091e-07
recdev1(1976)   -0.0618143  8.47439e-08
recdev1(1977)     0.424168 -4.61554e-06
recdev1(1978)     0.103374 -7.33342e-06
recdev1(1979)      0.47219 -7.49678e-06
recdev1(1980)      0.14651 -6.33088e-06
recdev1(1981)      0.36957 -4.16503e-06
recdev1(1982)     0.252517 -1.37021e-06
recdev1(1983)     0.456849 -2.62503e-06
recdev1(1984)      0.29194 -5.88543e-06
recdev1(1985)     0.298461 -5.36975e-06
recdev1(1986)    -0.164392 -2.83387e-06
recdev1(1987)     -0.20573 -3.88588e-06
recdev1(1988)  -0.00897507  5.29376e-06
recdev1(1989)    -0.189851   4.8943e-06
recdev1(1990)   -0.0825333  4.03277e-07
recdev1(1991)    -0.133531 -4.11608e-06
recdev1(1992)     0.167846  1.09148e-06
recdev1(1993)   -0.0417034 -1.27369e-05
recdev1(1994)     0.090102 -1.07491e-05
recdev1(1995)    0.0936918  9.18341e-07
recdev1(1996)   -0.0865143  5.06485e-06
recdev1(1997)    -0.303768  6.88999e-06
recdev1(1998)     0.120542  3.56074e-06
recdev1(1999)     0.137716  6.90657e-06
recdev1(2000)    -0.223785 -1.30997e-06
recdev1(2001)    0.0186642   9.7458e-07
recdev1(2002)    -0.128803  1.17634e-05
recdev1(2003)    -0.195434  8.79386e-06
recdev1(2004)     -0.12118 -6.93904e-06
recdev1(2005)     -0.14559 -8.30213e-07
recdev1(2006)     0.206491  4.99733e-06
recdev1(2007)    -0.393273  7.71071e-06
recdev1(2008)    -0.122116  1.08956e-05
recdev1(2009)    0.0426241  7.90388e-06
recdev1(2010)    -0.320522 -5.83429e-06
recdev1(2011)     0.113822 -1.51538e-06
recdev1(2012)    -0.243317  2.72593e-06
recdev1(2013)    -0.254573    7.036e-06
recdev1(2014)    -0.353058 -1.75047e-06
recdev1(2015)   -0.0333659   2.6562e-07
Fcast_recruitments(2016)            0 -1.05125e-13
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      75.0733  -5.1016e-07
selparm[2]     -3.66829  5.69353e-06
selparm[3]      1.80593  6.02635e-07
selparm[4]      4.09983  1.27798e-06
selparm[7]      74.0388 -4.94518e-07
selparm[9]    -0.999746  1.02944e-06
selparm[10]    -0.999567 -1.95697e-07
selparm[12]     -12.2627 -1.24377e-07
selparm[13]      62.0624  1.67562e-06
selparm[15]    -0.916655  1.05862e-06
selparm[16]    -0.814742  -4.0151e-06
selparm[19]      99.2156 -2.98288e-07
selparm[20]     -2.51223 -5.04216e-06
selparm[21]      3.36877  3.89073e-07
