ParName   Value   Gradient
SR_parm[1]      9.62383  7.60784e-05
recdev1(1975)    -0.446552  5.94184e-06
recdev1(1976)    -0.266883  2.23574e-05
recdev1(1977)    0.0514288  2.76373e-05
recdev1(1978)     0.359845  -4.5548e-05
recdev1(1979) -0.000948311  -5.0405e-06
recdev1(1980)     0.131268 -7.49586e-06
recdev1(1981)    0.0629309    8.928e-06
recdev1(1982)     0.125596 -5.85663e-05
recdev1(1983)      0.12326  5.74975e-05
recdev1(1984)     0.381612 -4.04891e-05
recdev1(1985)     0.268552  2.33566e-06
recdev1(1986)    -0.173847  4.05486e-05
recdev1(1987)    -0.280879 -6.90385e-05
recdev1(1988)     0.208481  5.39111e-05
recdev1(1989)    -0.048452 -1.59509e-05
recdev1(1990)    -0.565693  3.48761e-05
recdev1(1991)     0.121108  6.31704e-06
recdev1(1992)    -0.335905 -4.35868e-05
recdev1(1993)     0.233742  1.81929e-05
recdev1(1994)   -0.0805092 -5.44551e-05
recdev1(1995)   -0.0655837  2.51432e-05
recdev1(1996)     0.189406 -1.88327e-07
recdev1(1997)    -0.287848 -5.33455e-05
recdev1(1998)    0.0844593  2.62861e-05
recdev1(1999)     0.234976 -2.22177e-05
recdev1(2000)     0.234585  4.75791e-06
recdev1(2001)    -0.190941  1.11447e-05
recdev1(2002)    0.0452217  2.17634e-06
recdev1(2003)    -0.124235 -7.39475e-06
recdev1(2004)   -0.0345811 -1.13187e-06
recdev1(2005)    -0.113501  1.42434e-05
recdev1(2006)     0.273957 -1.26827e-05
recdev1(2007)    0.0870441  2.68137e-05
recdev1(2008)    -0.208483 -5.11422e-06
recdev1(2009)     0.175374   3.2046e-05
recdev1(2010)     0.068416 -1.60906e-05
recdev1(2011)   0.00253976  2.56112e-05
recdev1(2012)     0.370929   6.3181e-07
recdev1(2013)   -0.0440576  4.01177e-06
recdev1(2014)    -0.373041  5.59464e-06
recdev1(2015)    -0.192793  1.15662e-06
Fcast_recruitments(2016)    -0.179444  9.32129e-07
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Fcast_recruitments(2036)            0            0
Fcast_recruitments(2037)            0            0
selparm[1]      99.1269  1.00167e-05
selparm[2]    -0.161648 -1.32013e-06
selparm[3]      6.52438  1.77416e-07
selparm[4]      4.12364  3.00979e-07
selparm[7]      74.4038  1.74433e-05
selparm[9]      5.17065 -1.51533e-05
selparm[10]      4.18416  3.61852e-06
selparm[12]     -1.42524  1.18208e-05
selparm[13]      61.9917  7.86755e-06
selparm[15]       3.6033  -4.1702e-06
selparm[16]      4.14526  5.74991e-07
selparm[19]      96.9345  3.08476e-05
selparm[20]     -7.20685 -2.11527e-05
selparm[21]      4.46102   5.6638e-05
